,type,username,useraddress,userid,timestamp,roomname,content
0,presence,BazaarAgent,128.2.220.133:40489,\N,2016-06-12 17:53:01,mturkno7226121,join
1,presence,Jenn,66.169.155.224:51496,2,2016-06-12 17:53:01,mturkno7226121,join
2,presence,pog,68.116.121.11:56795,9,2016-06-12 17:53:04,mturkno7226121,join
3,presence,ydarbr728,108.14.54.236:51521,28,2016-06-12 17:53:04,mturkno7226121,join
4,text,BazaarAgent,128.2.220.133:40489,\N,2016-06-12 17:53:13,mturkno7226121,"Use this space to discuss the relative merits and demerits of each plan from your assigned perspective in step 2. That was the step where you were asked to write an individual proposal and post it to the discussion forum. Work towards a consensus on which plan you think is the best as a group. Wherever possible, supplement plan suggestions, agreements and disagreements with reasons, and try to refer to or build upon your teammates' ideas."
5,presence,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:53:13,mturkno7226121,join
6,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:53:54,mturkno7226121,Hey guys.
7,text,Jenn,66.169.155.224:51496,2,2016-06-12 17:53:56,mturkno7226121,"Hi.  I think plan 2 is the best.  There wouldn&#39;t be any waste disposal cost or carbon tax, and they would get really good tax breaks."
8,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:54:19,mturkno7226121,"I&#39;d have to agree with plan 2, it seems the most economical fit for this city. "
9,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:54:26,mturkno7226121,Could we expand on why?
10,text,pog,68.116.121.11:56795,9,2016-06-12 17:55:01,mturkno7226121,plan 1 is the only plan that fits into their &quot;tight&quot; budget. 
11,text,ydarbr728,108.14.54.236:51521,28,2016-06-12 17:55:35,mturkno7226121,"I agree with plan 2. It&#39;s only slightly above budget, but also there is no cost in waste removal. "
12,text,pog,68.116.121.11:56795,9,2016-06-12 17:55:55,mturkno7226121,its 21 million above budget
13,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:55:57,mturkno7226121,"There is a lot to take into account, but does anyone see any options in 3, or 4?"
14,text,Jenn,66.169.155.224:51496,2,2016-06-12 17:55:59,mturkno7226121,"I disagree that plan 1 fits into their budget, since they would have waste costs every year, and a carbon tax every year.  It would end up being more expensive."
15,text,ydarbr728,108.14.54.236:51521,28,2016-06-12 17:56:14,mturkno7226121,Right but 21 million out of 900 million is almost insignificant
16,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:56:17,mturkno7226121,The carbon tax and waste have to be taken into account.
17,text,pog,68.116.121.11:56795,9,2016-06-12 17:56:21,mturkno7226121,"$868,800,000 for plan 1\
"
18,text,pog,68.116.121.11:56795,9,2016-06-12 17:56:34,mturkno7226121,"for plan 2 : $921,600,000\
"
19,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:56:35,mturkno7226121,"There is a tax for it yearly, I presume."
20,text,OhHiThere,184.7.73.129:50154,11,2016-06-12 17:56:42,mturkno7226121,Plan 2 has no taxes.
21,text,pog,68.116.121.11:56795,9,2016-06-12 17:56:50,mturkno7226121,the total all the way to the right takes that into account
22,text,ydarbr728,108.14.54.236:51521,28,2016-06-12 17:56:56,mturkno7226121,Plan 1 isn&#39;t what they&#39;re looking for
23,text,ydarbr728,108.14.54.236:51521,28,2016-06-12 17:57:11,mturkno7226121,Just because it fits into the budget
24,text,ydarbr728,108.14.54.236:51521,28,2016-06-12 17:57:20,mturkno7226121,it doesn&#39;t account for reduction in chemical waste or greenhouse gases
